time_x	cp_y
2047	0.00428
2048	0.00245
2049	5.05993E-4
2050	-4.71902E-4
2051	-0.00181
2052	-0.0016
2053	-0.00205
2054	-0.00159
2055	-5.2389E-4
2056	-0.00183
2057	-0.00236
2058	-0.00229
2059	-0.00392
2060	-0.0046
2061	-0.0039
2062	-0.00291
2063	-0.00217
2064	-0.0016
2065	-0.00194
2066	-6.98892E-4
2067	-2.10317E-4
2068	3.58259E-4
2069	0.00192
2070	0.00245
2071	0.00216
2072	0.00125
2073	0.00119
2074	5.13169E-4
2075	3.13063E-4
2076	1.24243E-4
2077	7.65423E-4
2078	0.00109
2079	0.00259
2080	0.00306
2081	0.00409
2082	0.00441
2083	0.00387
2084	0.0011
2085	-0.0011
2086	-0.00151
2087	-0.00161
2088	-3.92975E-4
2089	0.0016
2090	0.00382
2091	0.00475
2092	0.00482
2093	0.0041
2094	0.00234
2095	9.42113E-4
2096	-0.00415
2097	-0.00783
2098	-0.01027
2099	-0.01071
2100	-0.01129
2101	-0.00836
2102	-0.00577
2103	-0.00569
2104	-0.00822
2105	-0.00997
2106	-0.00966
2107	-0.00925
2108	-0.00631
2109	-9.71662E-4
2110	0.00399
2111	0.00676
2112	0.00854
2113	0.00961
2114	0.01078
2115	0.0117
2116	0.01193
2117	0.01242
2118	0.01134
2119	0.00819
2120	0.0054
2121	0.00423
2122	0.0041
2123	0.0048
2124	0.00623
2125	0.00691
2126	0.00597
2127	0.00291
2128	-3.40949E-4
2129	-0.00122
2130	-0.0022
2131	-0.00193
2132	-3.04256E-4
2133	5.07312E-4
2134	-8.2112E-4
2135	-6.49552E-4
2136	-0.00265
2137	-0.00438
2138	-0.00403
2139	-9.94404E-4
2140	0.00147
2141	0.00439
2142	0.00615
2143	0.00715
2144	0.00452
2145	0.00272
2146	0.0011
2147	-0.00102
2148	-0.00388
2149	-0.00385
2150	-0.00461
2151	-0.00349
2152	-0.0026
2153	-0.00125
2154	-0.0014
2155	-0.0016
2156	-0.00148
2157	7.80168E-5
2158	0.00247
2159	0.00557
2160	0.00741
2161	0.00717
2162	0.00748
2163	0.00595
2164	0.00395
2165	0.00323
2166	0.0044
2167	0.00505
2168	0.00664
2169	0.00688
2170	0.00716
2171	0.00562
2172	0.00418
2173	0.00309
2174	0.00337
2175	0.00194
2176	0.00277
2177	0.00391
2178	0.00486
2179	0.00598
2180	0.00718
2181	0.00686
2182	0.00704
2183	0.00706
2184	0.00565
2185	0.00431
2186	0.00411
2187	0.00397
2188	0.00341
2189	0.0033
2190	0.00398
2191	0.00249
2192	0.00229
2193	0.00358
2194	0.00353
2195	0.00303
2196	0.0034
2197	0.00176
2198	-7.13929E-4
2199	-0.00101
2200	6.79325E-4
2201	0.00369
2202	0.00638
2203	0.00832
2204	0.01031
2205	0.0096
2206	0.0063
2207	0.0037
2208	0.00274
2209	8.06313E-4
2210	0.0017
2211	0.00398
2212	0.00536
2213	0.0053
2214	0.00507
2215	0.00292
2216	6.30843E-4
2217	-8.00827E-4
2218	-7.35165E-5
2219	0.00302
2220	0.00645
2221	0.00849
2222	0.00899
2223	0.00857
2224	0.00371
2225	-0.00237
2226	-0.00382
2227	-0.0028
2228	-0.00173
2229	0.002
2230	0.00765
2231	0.00958
2232	0.00941
2233	0.0079
2234	0.00658
2235	0.00672
2236	0.00759
2237	0.00797
2238	0.00859
2239	0.0089
2240	0.00707
2241	0.00463
2242	0.00473
2243	0.00484
2244	0.00663
2245	0.00725
2246	0.00804
2247	0.00569
2248	0.00456
2249	0.00211
2250	0.00113
2251	4.36275E-4
2252	6.45899E-4
2253	-4.47088E-4
2254	-0.00122
2255	-0.00169
2256	-0.00258
2257	-0.00141
2258	-1.45652E-4
2259	0.00119
2260	0.00265
2261	0.00436
2262	0.00487
2263	0.00377
2264	0.00158
2265	-3.3955E-4
2266	-0.00144
2267	-0.00172
2268	-9.81712E-4
2269	0.0015
2270	0.00236
